alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-5.000,-0.3436,0.01615,0.01005,-0.0472,0.8497,0.0250,-2.1217,0.0000,0.0000,0.0000,0.1070
-4.500,-0.2956,0.01381,0.00754,-0.0455,0.8412,0.0248,-1.9961,0.0000,0.0000,0.0000,0.0902
-4.000,-0.2495,0.01227,0.00583,-0.0437,0.8288,0.0252,-1.8405,0.0000,0.0000,0.0000,0.0691
-3.500,-0.2007,0.01134,0.00472,-0.0423,0.8150,0.0261,-1.6448,0.0000,0.0000,0.0000,0.0330
-3.000,-0.1516,0.01004,0.00312,-0.0411,0.7993,0.0507,-1.5831,0.0000,0.0000,0.0000,-0.0280
-2.500,-0.1096,0.00728,0.00230,-0.0407,0.7916,0.5430,-1.3461,0.0000,0.0000,0.0000,-0.1286
-2.000,-0.0547,0.00704,0.00235,-0.0404,0.7807,0.6424,-1.0572,0.0000,0.0000,0.0000,-0.4991
-1.500,0.0006,0.00715,0.00256,-0.0398,0.7696,0.6932,-0.7810,0.0000,0.0000,0.0000,67.3006
-1.000,0.0579,0.00726,0.00259,-0.0400,0.7553,0.7109,-0.5211,0.0000,0.0000,0.0000,0.9454
-0.500,0.1143,0.00738,0.00282,-0.0400,0.7474,0.7328,-0.4383,0.0000,0.0000,0.0000,0.6002
0.000,0.1726,0.00740,0.00284,-0.0405,0.7405,0.7423,-0.4653,0.0000,0.0000,0.0000,0.4843
0.500,0.2308,0.00743,0.00286,-0.0411,0.7308,0.7485,-0.4939,0.0000,0.0000,0.0000,0.4268
1.000,0.2886,0.00735,0.00279,-0.0416,0.7216,0.7622,-0.5222,0.0000,0.0000,0.0000,0.3926
1.500,0.3450,0.00752,0.00293,-0.0417,0.7004,0.7742,-0.7035,0.0000,0.0000,0.0000,0.3688
2.000,0.4011,0.00729,0.00274,-0.0414,0.6818,0.7850,-0.9947,0.0000,0.0000,0.0000,0.3508
2.500,0.4558,0.00732,0.00263,-0.0408,0.6396,0.7952,-1.3035,0.0000,0.0000,0.0000,0.3367
3.000,0.5098,0.00746,0.00261,-0.0403,0.5848,0.8065,-1.6281,0.0000,0.0000,0.0000,0.3259
3.500,0.5446,0.00882,0.00303,-0.0367,0.3536,0.8231,-1.9056,0.0000,0.0000,0.0000,0.3137
4.000,0.5637,0.01148,0.00432,-0.0311,0.0488,0.8382,-2.1193,0.0000,0.0000,0.0000,0.3012
4.500,0.6015,0.01271,0.00571,-0.0275,0.0228,0.8489,-2.2199,0.0000,0.0000,0.0000,0.2912
5.000,0.6338,0.01361,0.00685,-0.0228,0.0214,0.8716,-2.4053,0.0000,0.0000,0.0000,0.2812
5.500,0.6566,0.01487,0.00834,-0.0164,0.0208,0.8919,-2.5547,0.0000,0.0000,0.0000,0.2697
6.000,0.6738,0.01627,0.00996,-0.0090,0.0207,0.9178,-2.6817,0.0000,0.0000,0.0000,0.2576
6.500,0.6875,0.01736,0.01143,-0.0007,0.0187,0.9492,-2.9003,0.0000,0.0000,0.0000,0.2448
7.000,0.7451,0.01855,0.01271,-0.0023,0.0160,0.9886,-3.3237,0.0000,0.0000,0.0000,0.2464
7.500,0.7972,0.02064,0.01493,-0.0025,0.0153,1.0000,-3.6341,0.0000,0.0000,0.0000,0.2460
8.000,0.8433,0.02290,0.01735,-0.0017,0.0146,1.0000,-3.9473,0.0000,0.0000,0.0000,0.2444
8.500,0.8787,0.02521,0.01983,0.0007,0.0139,1.0000,-4.2537,0.0000,0.0000,0.0000,0.2411
9.000,0.8943,0.03184,0.02698,0.0045,0.0118,1.0000,-4.3208,0.0000,0.0000,0.0000,0.2363
9.500,0.9003,0.03269,0.02799,0.0113,0.0109,1.0000,-4.6717,0.0000,0.0000,0.0000,0.2282
10.000,0.9094,0.03435,0.02982,0.0166,0.0102,1.0000,-4.9969,0.0000,0.0000,0.0000,0.2218
10.500,0.9125,0.03674,0.03241,0.0218,0.0094,1.0000,-5.2749,0.0000,0.0000,0.0000,0.2155
11.000,0.9101,0.03958,0.03545,0.0265,0.0088,1.0000,-5.5362,0.0000,0.0000,0.0000,0.2095
11.500,0.9036,0.04282,0.03888,0.0304,0.0083,1.0000,-5.7869,0.0000,0.0000,0.0000,0.2042
12.000,0.8921,0.04682,0.04307,0.0333,0.0079,1.0000,-6.0002,0.0000,0.0000,0.0000,0.1995
12.500,0.8756,0.05181,0.04828,0.0350,0.0077,1.0000,-6.1601,0.0000,0.0000,0.0000,0.1960
13.000,0.8522,0.05834,0.05503,0.0349,0.0075,1.0000,-6.2221,0.0000,0.0000,0.0000,0.1940
13.500,0.8213,0.06733,0.06426,0.0324,0.0074,1.0000,-6.1441,0.0000,0.0000,0.0000,0.1946
14.000,0.7685,0.08264,0.07990,0.0245,0.0075,1.0000,-5.6578,0.0000,0.0000,0.0000,0.2013
14.500,0.6598,0.12253,0.12005,0.0032,0.0081,1.0000,-3.5188,0.0000,0.0000,0.0000,0.2292
15.000,0.6456,0.13692,0.13440,-0.0035,0.0079,1.0000,-3.1017,0.0000,0.0000,0.0000,0.2393
15.500,0.6303,0.15281,0.15027,-0.0102,0.0090,1.0000,-2.4522,0.0000,0.0000,0.0000,0.2501


