alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-2.400,-0.0932,0.01001,0.00431,-0.0785,0.5133,0.0539,-2.3515,0.0000,0.0000,0.0000,-0.6118
-2.300,-0.0746,0.00991,0.00414,-0.0773,0.5037,0.0569,-2.2406,0.0000,0.0000,0.0000,-0.8099
-2.100,-0.0377,0.00971,0.00382,-0.0752,0.4863,0.0628,-2.0385,0.0000,0.0000,0.0000,-1.7865
-2.000,-0.0193,0.00964,0.00370,-0.0742,0.4775,0.0663,-1.9516,0.0000,0.0000,0.0000,-3.6604
-1.900,-0.0001,0.00958,0.00359,-0.0734,0.4706,0.0699,-1.8650,0.0000,0.0000,0.0000,-630.7459
-1.700,0.0367,0.00947,0.00341,-0.0716,0.4552,0.0779,-1.7025,0.0000,0.0000,0.0000,2.2284
-1.600,0.0553,0.00943,0.00334,-0.0708,0.4483,0.0826,-1.6228,0.0000,0.0000,0.0000,1.5470
-1.500,0.0745,0.00939,0.00327,-0.0701,0.4428,0.0867,-1.5439,0.0000,0.0000,0.0000,1.2016
-1.400,0.0930,0.00933,0.00319,-0.0693,0.4369,0.0933,-1.4683,0.0000,0.0000,0.0000,1.0038
-1.300,0.1113,0.00930,0.00315,-0.0686,0.4307,0.0997,-1.3950,0.0000,0.0000,0.0000,0.8723
-1.200,0.1294,0.00930,0.00311,-0.0679,0.4235,0.1052,-1.3246,0.0000,0.0000,0.0000,0.7785
-1.100,0.1480,0.00924,0.00307,-0.0672,0.4189,0.1124,-1.2550,0.0000,0.0000,0.0000,0.7069
-1.000,0.1669,0.00921,0.00303,-0.0666,0.4143,0.1186,-1.1914,0.0000,0.0000,0.0000,0.6510
-0.900,0.1854,0.00918,0.00300,-0.0660,0.4098,0.1266,-1.1349,0.0000,0.0000,0.0000,0.6071
-0.800,0.2038,0.00916,0.00298,-0.0654,0.4054,0.1343,-1.0797,0.0000,0.0000,0.0000,0.5714
-0.700,0.2219,0.00914,0.00296,-0.0647,0.4009,0.1435,-1.0262,0.0000,0.0000,0.0000,0.5418
-0.600,0.2398,0.00913,0.00296,-0.0641,0.3960,0.1536,-1.0038,0.0000,0.0000,0.0000,0.5169
-0.500,0.2585,0.00910,0.00295,-0.0635,0.3931,0.1635,-1.0218,0.0000,0.0000,0.0000,0.4951
-0.400,0.2772,0.00906,0.00294,-0.0630,0.3905,0.1736,-1.0401,0.0000,0.0000,0.0000,0.4763
-0.300,0.2958,0.00903,0.00293,-0.0625,0.3877,0.1847,-1.0583,0.0000,0.0000,0.0000,0.4600
-0.200,0.3144,0.00901,0.00293,-0.0620,0.3846,0.1961,-1.0775,0.0000,0.0000,0.0000,0.4456
-0.100,0.3324,0.00897,0.00294,-0.0614,0.3812,0.2115,-1.0972,0.0000,0.0000,0.0000,0.4329
0.000,0.3503,0.00895,0.00295,-0.0608,0.3775,0.2269,-1.1170,0.0000,0.0000,0.0000,0.4216
0.100,0.3681,0.00895,0.00297,-0.0602,0.3739,0.2419,-1.1369,0.0000,0.0000,0.0000,0.4114
0.200,0.3855,0.00892,0.00298,-0.0596,0.3705,0.2610,-1.1565,0.0000,0.0000,0.0000,0.4021
0.300,0.4029,0.00887,0.00300,-0.0589,0.3675,0.2853,-1.1760,0.0000,0.0000,0.0000,0.3938
0.400,0.4195,0.00868,0.00299,-0.0583,0.3659,0.3431,-1.1954,0.0000,0.0000,0.0000,0.3863
0.500,0.4354,0.00845,0.00300,-0.0576,0.3641,0.4226,-1.2144,0.0000,0.0000,0.0000,0.3795
0.600,0.4527,0.00834,0.00303,-0.0570,0.3621,0.4685,-1.2346,0.0000,0.0000,0.0000,0.3729
0.700,0.4705,0.00829,0.00307,-0.0563,0.3599,0.5013,-1.2557,0.0000,0.0000,0.0000,0.3667
0.800,0.4883,0.00826,0.00312,-0.0557,0.3572,0.5309,-1.2784,0.0000,0.0000,0.0000,0.3609
0.900,0.5059,0.00823,0.00317,-0.0550,0.3543,0.5591,-1.3011,0.0000,0.0000,0.0000,0.3554
1.000,0.5236,0.00822,0.00323,-0.0543,0.3514,0.5826,-1.3240,0.0000,0.0000,0.0000,0.3503
1.100,0.5414,0.00824,0.00330,-0.0537,0.3488,0.6027,-1.3471,0.0000,0.0000,0.0000,0.3455
1.200,0.5589,0.00827,0.00337,-0.0529,0.3460,0.6243,-1.3701,0.0000,0.0000,0.0000,0.3410
1.300,0.5759,0.00829,0.00347,-0.0521,0.3430,0.6478,-1.3926,0.0000,0.0000,0.0000,0.3366
1.400,0.5935,0.00831,0.00356,-0.0513,0.3407,0.6680,-1.4158,0.0000,0.0000,0.0000,0.3325
1.600,0.6307,0.00833,0.00370,-0.0500,0.3369,0.7035,-1.4681,0.0000,0.0000,0.0000,0.3251
1.700,0.6490,0.00834,0.00378,-0.0492,0.3343,0.7226,-1.4948,0.0000,0.0000,0.0000,0.3217
1.800,0.6674,0.00836,0.00387,-0.0485,0.3318,0.7412,-1.5217,0.0000,0.0000,0.0000,0.3183
1.900,0.6851,0.00838,0.00396,-0.0476,0.3292,0.7600,-1.5483,0.0000,0.0000,0.0000,0.3151
2.000,0.7027,0.00842,0.00406,-0.0467,0.3267,0.7796,-1.5748,0.0000,0.0000,0.0000,0.3119
2.100,0.7201,0.00846,0.00417,-0.0457,0.3240,0.7995,-1.6021,0.0000,0.0000,0.0000,0.3088
2.200,0.7368,0.00851,0.00428,-0.0445,0.3211,0.8197,-1.6306,0.0000,0.0000,0.0000,0.3057
2.300,0.7526,0.00859,0.00442,-0.0432,0.3175,0.8389,-1.6584,0.0000,0.0000,0.0000,0.3026
2.400,0.7691,0.00865,0.00456,-0.0420,0.3147,0.8578,-1.6869,0.0000,0.0000,0.0000,0.2996
2.500,0.7870,0.00870,0.00467,-0.0409,0.3127,0.8756,-1.7171,0.0000,0.0000,0.0000,0.2969
2.600,0.8039,0.00874,0.00479,-0.0396,0.3103,0.8927,-1.7467,0.0000,0.0000,0.0000,0.2941
2.700,0.8208,0.00880,0.00492,-0.0382,0.3075,0.9088,-1.7792,0.0000,0.0000,0.0000,0.2913
2.800,0.8376,0.00888,0.00504,-0.0368,0.3040,0.9257,-1.8120,0.0000,0.0000,0.0000,0.2886
2.900,0.8544,0.00896,0.00517,-0.0354,0.3003,0.9427,-1.8451,0.0000,0.0000,0.0000,0.2859
3.000,0.8740,0.00909,0.00533,-0.0344,0.2969,0.9567,-1.8815,0.0000,0.0000,0.0000,0.2838
3.100,0.8966,0.00925,0.00551,-0.0341,0.2931,0.9685,-1.9241,0.0000,0.0000,0.0000,0.2823
