Attribute,1 (Bombardier CRJ700),2 (Embraer E170AR),3 (Mitsubishi SpaceJetM90),4 (Bombardier CRJ-550),5 (Fokker F28 fellowship-1000),6 (Boeing 737-100),7 (Comac ARJ21-700 STD),8 (Embraer E190LR),9 (Sukhoi Superjet100/95B),10 (Fairchild Dornier 728)
Aircraft Manufacturer,Bombardier,Embraer,Mitsubishi,Bombardier,Fokker,Boeing,Comac,Embraer,Sukhoi,Fairchild Dornier
Model,CRJ700,E170AR,SpaceJetM90,CRJ-550,F28 fellowship -1000,737-100,ARJ21-700 STD,E190LR,Superjet100/95B,728
MTOW [ton],33.00,38.60,42.80,34.00,29.48,44.00,40.50,50.30,49.45,35.99
MLW [ton],30.39,33.30,38.80,27.67,27.06,40.69,37.67,43.00,41.00,32.24
OEM [ton],20.069,21.060,26.000,26.762,16.144,26.581,24.960,40.800,25.100,20.435
Range [km],2593,3892,3770,2552,3280,3440,2200,4445,3048,3300
Payload [ton],8.190,9.840,8.976,8.190,8.629,10.478,8.935,13.047,12.245,8.554
Take off distance [m],1516,1644,1740,1605,1244,1460,1792,1267,1731,1463
Landing distance [m],1536,1274,1480,1536,1345,1300,1631,1226,1630,1420
Thrust [kN],122.6,122.77,156.58,115.6,87.8,124.00,151.74,178.00,143.2,111.2
Wingspan [m],23.20,26.00,29.20,23.20,23.60,28.00,27.28,28.73,27.80,27.12
Wing surface area [m^2],70.60,72.70,86.60,68.60,76.40,91.04,79.86,92.53,83.80,83.00
Aspect ratio [-],7.62,9.30,9.91,7.85,7.29,8.61,9.32,8.91,9.22,8.86
Sweep angle [deg],-,-,-,-,16,25,-,-,-,23.5
Cruise speed [Mach],0.78,0.82,0.78,0.78,0.76,0.75,0.78,0.82,0.78,0.81
OEW/MTOW,0.608,0.546,0.607,0.787,0.548,0.604,0.616,0.811,0.508,0.568
PAYLOAD/MTOW,0.248,0.255,0.210,0.241,0.293,0.238,0.221,0.259,0.248,0.238
PAYLOAD/OEW,0.408,0.467,0.345,0.306,0.535,0.394,0.358,0.320,0.488,0.419
Mass fraction landing,0.921,0.863,0.907,0.814,0.918,0.925,0.930,0.855,0.829,0.896
T/W [N/N],0.379,0.324,0.373,0.347,0.304,0.144,0.382,0.180,0.295,0.315
W/S [N/m^2],4585.272,5208.611,4882.166,4862.099,3785.325,3740.997,4975.019,5332.789,5788.837,4253.758
Number of Passengers,70,78,92,50,65,85,90,114,98,76
