alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-1.700,-0.0066,0.00898,0.00354,-0.0653,0.6481,0.0230,-1.5055,0.0000,0.0000,0.0000,-9.7829
-1.600,0.0103,0.00888,0.00342,-0.0648,0.6474,0.0248,-1.4141,0.0000,0.0000,0.0000,6.6059
-1.500,0.0276,0.00879,0.00331,-0.0645,0.6465,0.0261,-1.3173,0.0000,0.0000,0.0000,2.6095
-1.400,0.0452,0.00872,0.00321,-0.0642,0.6457,0.0342,-1.2338,0.0000,0.0000,0.0000,1.6828
-1.300,0.0624,0.00862,0.00314,-0.0639,0.6447,0.0433,-1.1414,0.0000,0.0000,0.0000,1.2832
-1.200,0.0790,0.00850,0.00304,-0.0635,0.6437,0.0571,-1.0503,0.0000,0.0000,0.0000,1.0609
-1.100,0.0861,0.00786,0.00272,-0.0625,0.6426,0.1727,-0.9919,0.0000,0.0000,0.0000,0.9805
-1.000,0.0865,0.00647,0.00208,-0.0615,0.6415,0.4305,-0.9537,0.0000,0.0000,0.0000,0.9662
-0.900,0.1014,0.00606,0.00200,-0.0613,0.6403,0.5361,-0.8702,0.0000,0.0000,0.0000,0.8586
-0.800,0.1210,0.00605,0.00200,-0.0614,0.6391,0.5494,-0.7769,0.0000,0.0000,0.0000,0.7601
-0.700,0.1405,0.00603,0.00200,-0.0615,0.6377,0.5613,-0.7353,0.0000,0.0000,0.0000,0.6897
-0.600,0.1599,0.00601,0.00201,-0.0616,0.6364,0.5704,-0.7446,0.0000,0.0000,0.0000,0.6365
-0.500,0.1795,0.00600,0.00203,-0.0617,0.6349,0.5775,-0.7540,0.0000,0.0000,0.0000,0.5946
-0.400,0.1991,0.00600,0.00204,-0.0618,0.6331,0.5830,-0.7635,0.0000,0.0000,0.0000,0.5609
-0.300,0.2187,0.00601,0.00204,-0.0619,0.6312,0.5873,-0.7731,0.0000,0.0000,0.0000,0.5332
-0.200,0.2383,0.00602,0.00205,-0.0620,0.6287,0.5907,-0.7829,0.0000,0.0000,0.0000,0.5101
-0.100,0.2577,0.00603,0.00204,-0.0621,0.6253,0.5933,-0.7940,0.0000,0.0000,0.0000,0.4905
0.000,0.2769,0.00604,0.00202,-0.0621,0.6210,0.5954,-0.8051,0.0000,0.0000,0.0000,0.4736
0.100,0.2954,0.00606,0.00201,-0.0620,0.6147,0.5971,-0.8160,0.0000,0.0000,0.0000,0.4589
0.200,0.3134,0.00612,0.00203,-0.0618,0.6057,0.5989,-0.8264,0.0000,0.0000,0.0000,0.4461
0.300,0.3321,0.00614,0.00205,-0.0617,0.5994,0.6050,-0.8372,0.0000,0.0000,0.0000,0.4346
0.400,0.3510,0.00606,0.00204,-0.0616,0.5928,0.6209,-0.8497,0.0000,0.0000,0.0000,0.4241
0.500,0.3701,0.00606,0.00208,-0.0615,0.5879,0.6298,-0.8611,0.0000,0.0000,0.0000,0.4147
0.600,0.3891,0.00608,0.00212,-0.0614,0.5834,0.6367,-0.8724,0.0000,0.0000,0.0000,0.4062
0.700,0.4084,0.00612,0.00216,-0.0613,0.5795,0.6414,-0.8837,0.0000,0.0000,0.0000,0.3985
0.800,0.4275,0.00615,0.00219,-0.0613,0.5758,0.6443,-0.8949,0.0000,0.0000,0.0000,0.3915
0.900,0.4466,0.00618,0.00222,-0.0612,0.5717,0.6457,-0.9060,0.0000,0.0000,0.0000,0.3851
1.000,0.4654,0.00621,0.00224,-0.0610,0.5673,0.6465,-0.9171,0.0000,0.0000,0.0000,0.3791
1.100,0.4839,0.00625,0.00226,-0.0608,0.5626,0.6473,-0.9279,0.0000,0.0000,0.0000,0.3736
1.200,0.5021,0.00630,0.00230,-0.0605,0.5572,0.6479,-0.9385,0.0000,0.0000,0.0000,0.3684
1.300,0.5203,0.00635,0.00235,-0.0602,0.5515,0.6485,-0.9527,0.0000,0.0000,0.0000,0.3635
1.400,0.5398,0.00638,0.00239,-0.0601,0.5482,0.6490,-1.0588,0.0000,0.0000,0.0000,0.3590
1.500,0.5593,0.00640,0.00243,-0.0600,0.5442,0.6495,-1.1697,0.0000,0.0000,0.0000,0.3548
1.600,0.5782,0.00642,0.00247,-0.0597,0.5369,0.6514,-1.2827,0.0000,0.0000,0.0000,0.3507
1.700,0.5939,0.00648,0.00250,-0.0588,0.5189,0.6542,-1.3903,0.0000,0.0000,0.0000,0.3464


