alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-5.000,-0.3497,0.00664,0.00184,-0.0448,0.7387,0.0324,-2.6093,0.0000,0.0000,0.0000,0.1141
-4.900,-0.3381,0.00659,0.00180,-0.0448,0.7340,0.0337,-2.5407,0.0000,0.0000,0.0000,0.1097
-4.800,-0.3265,0.00656,0.00175,-0.0447,0.7274,0.0348,-2.4729,0.0000,0.0000,0.0000,0.1051
-4.700,-0.3150,0.00654,0.00172,-0.0447,0.7192,0.0355,-2.4058,0.0000,0.0000,0.0000,0.1002
-4.600,-0.3032,0.00652,0.00168,-0.0447,0.7119,0.0360,-2.3388,0.0000,0.0000,0.0000,0.0947
-4.500,-0.2914,0.00649,0.00164,-0.0447,0.7081,0.0363,-2.2722,0.0000,0.0000,0.0000,0.0886
-4.400,-0.2797,0.00647,0.00161,-0.0447,0.7021,0.0374,-2.2070,0.0000,0.0000,0.0000,0.0822
-4.300,-0.2682,0.00645,0.00157,-0.0446,0.6938,0.0398,-2.1432,0.0000,0.0000,0.0000,0.0755
-4.200,-0.2567,0.00642,0.00153,-0.0446,0.6836,0.0421,-2.0801,0.0000,0.0000,0.0000,0.0681
-4.100,-0.2450,0.00638,0.00149,-0.0446,0.6793,0.0439,-2.0168,0.0000,0.0000,0.0000,0.0597
-4.000,-0.2334,0.00635,0.00145,-0.0446,0.6722,0.0454,-1.9544,0.0000,0.0000,0.0000,0.0507
-3.900,-0.2219,0.00635,0.00142,-0.0445,0.6623,0.0464,-1.8928,0.0000,0.0000,0.0000,0.0408
-3.800,-0.2102,0.00634,0.00139,-0.0445,0.6532,0.0470,-1.8315,0.0000,0.0000,0.0000,0.0296
-3.700,-0.1985,0.00632,0.00136,-0.0445,0.6482,0.0488,-1.7708,0.0000,0.0000,0.0000,0.0168
-3.600,-0.1869,0.00630,0.00133,-0.0445,0.6408,0.0521,-1.7114,0.0000,0.0000,0.0000,0.0028
-3.500,-0.1754,0.00628,0.00130,-0.0445,0.6320,0.0548,-1.6530,0.0000,0.0000,0.0000,-0.0127
-3.400,-0.1638,0.00625,0.00127,-0.0445,0.6242,0.0571,-1.5996,0.0000,0.0000,0.0000,-0.0310
-3.300,-0.1520,0.00623,0.00124,-0.0445,0.6203,0.0589,-1.5502,0.0000,0.0000,0.0000,-0.0525
-3.200,-0.1403,0.00621,0.00121,-0.0445,0.6143,0.0621,-1.5012,0.0000,0.0000,0.0000,-0.0772
-3.100,-0.1288,0.00619,0.00118,-0.0445,0.6062,0.0660,-1.4540,0.0000,0.0000,0.0000,-0.1057
-3.000,-0.1173,0.00618,0.00116,-0.0444,0.5959,0.0690,-1.4070,0.0000,0.0000,0.0000,-0.1400
-2.900,-0.1056,0.00615,0.00113,-0.0445,0.5918,0.0712,-1.3599,0.0000,0.0000,0.0000,-0.1831
-2.800,-0.0938,0.00614,0.00111,-0.0445,0.5852,0.0725,-1.3134,0.0000,0.0000,0.0000,-0.2366
-2.700,-0.0823,0.00615,0.00109,-0.0445,0.5756,0.0768,-1.2679,0.0000,0.0000,0.0000,-0.3036
-2.600,-0.0708,0.00613,0.00107,-0.0444,0.5655,0.0812,-1.2229,0.0000,0.0000,0.0000,-0.3926
-2.500,-0.0591,0.00610,0.00105,-0.0445,0.5609,0.0846,-1.1778,0.0000,0.0000,0.0000,-0.5192
-2.400,-0.0475,0.00610,0.00103,-0.0445,0.5535,0.0866,-1.1333,0.0000,0.0000,0.0000,-0.7070
-2.300,-0.0359,0.00611,0.00102,-0.0444,0.5443,0.0906,-1.0896,0.0000,0.0000,0.0000,-1.0120
-2.200,-0.0243,0.00609,0.00100,-0.0445,0.5363,0.0962,-1.0463,0.0000,0.0000,0.0000,-1.6109
-2.100,-0.0126,0.00606,0.00098,-0.0445,0.5328,0.1007,-1.0031,0.0000,0.0000,0.0000,-3.3412
-2.000,-0.0009,0.00605,0.00096,-0.0445,0.5272,0.1045,-0.9612,0.0000,0.0000,0.0000,-50.3046
-1.900,0.0105,0.00603,0.00095,-0.0445,0.5192,0.1130,-0.9260,0.0000,0.0000,0.0000,4.5420
-1.800,0.0220,0.00603,0.00094,-0.0445,0.5087,0.1178,-0.8909,0.0000,0.0000,0.0000,2.2965
-1.700,0.0338,0.00602,0.00092,-0.0445,0.5046,0.1210,-0.8555,0.0000,0.0000,0.0000,1.5816
-1.600,0.0455,0.00600,0.00091,-0.0445,0.4987,0.1287,-0.8209,0.0000,0.0000,0.0000,1.2407
-1.500,0.0569,0.00600,0.00090,-0.0445,0.4902,0.1343,-0.7867,0.0000,0.0000,0.0000,1.0401
-1.400,0.0685,0.00602,0.00089,-0.0445,0.4796,0.1374,-0.7524,0.0000,0.0000,0.0000,0.9057
-1.300,0.0802,0.00599,0.00088,-0.0445,0.4761,0.1456,-0.7186,0.0000,0.0000,0.0000,0.8095
-1.200,0.0919,0.00596,0.00087,-0.0446,0.4716,0.1537,-0.6853,0.0000,0.0000,0.0000,0.7383
-1.100,0.1035,0.00596,0.00086,-0.0446,0.4655,0.1613,-0.6523,0.0000,0.0000,0.0000,0.6831
-1.000,0.1148,0.00595,0.00086,-0.0446,0.4575,0.1717,-0.6233,0.0000,0.0000,0.0000,0.6396
-0.900,0.1265,0.00595,0.00085,-0.0446,0.4500,0.1763,-0.5955,0.0000,0.0000,0.0000,0.6033
-0.800,0.1383,0.00592,0.00084,-0.0446,0.4467,0.1862,-0.5679,0.0000,0.0000,0.0000,0.5732
-0.700,0.1499,0.00591,0.00084,-0.0446,0.4415,0.1941,-0.5664,0.0000,0.0000,0.0000,0.5479
-0.600,0.1614,0.00592,0.00084,-0.0446,0.4344,0.2001,-0.5759,0.0000,0.0000,0.0000,0.5263
-0.500,0.1728,0.00590,0.00084,-0.0446,0.4256,0.2142,-0.5852,0.0000,0.0000,0.0000,0.5077
-0.400,0.1845,0.00588,0.00083,-0.0447,0.4213,0.2251,-0.5949,0.0000,0.0000,0.0000,0.4913
-0.300,0.1961,0.00584,0.00083,-0.0447,0.4186,0.2385,-0.6045,0.0000,0.0000,0.0000,0.4768
-0.200,0.2078,0.00583,0.00083,-0.0447,0.4147,0.2480,-0.6145,0.0000,0.0000,0.0000,0.4639
-0.100,0.2193,0.00581,0.00083,-0.0447,0.4095,0.2609,-0.6247,0.0000,0.0000,0.0000,0.4525
0.000,0.2308,0.00581,0.00083,-0.0447,0.4029,0.2731,-0.6350,0.0000,0.0000,0.0000,0.4422
0.100,0.2422,0.00578,0.00083,-0.0447,0.3953,0.2914,-0.6452,0.0000,0.0000,0.0000,0.4329
0.200,0.2535,0.00568,0.00082,-0.0447,0.3932,0.3261,-0.6554,0.0000,0.0000,0.0000,0.4245
0.300,0.2648,0.00558,0.00081,-0.0447,0.3907,0.3634,-0.6657,0.0000,0.0000,0.0000,0.4169
0.400,0.2762,0.00552,0.00082,-0.0447,0.3874,0.3897,-0.6760,0.0000,0.0000,0.0000,0.4098
0.500,0.2876,0.00548,0.00082,-0.0447,0.3835,0.4115,-0.6864,0.0000,0.0000,0.0000,0.4032
0.600,0.2990,0.00545,0.00083,-0.0447,0.3788,0.4332,-0.6968,0.0000,0.0000,0.0000,0.3972
0.700,0.3104,0.00543,0.00084,-0.0447,0.3728,0.4543,-0.7079,0.0000,0.0000,0.0000,0.3916
0.800,0.3218,0.00538,0.00084,-0.0447,0.3677,0.4761,-0.7192,0.0000,0.0000,0.0000,0.3863
0.900,0.3335,0.00535,0.00085,-0.0448,0.3664,0.4933,-0.7306,0.0000,0.0000,0.0000,0.3815
1.000,0.3452,0.00533,0.00085,-0.0448,0.3646,0.5054,-0.7421,0.0000,0.0000,0.0000,0.3769
1.100,0.3568,0.00529,0.00086,-0.0448,0.3624,0.5238,-0.7535,0.0000,0.0000,0.0000,0.3727
1.200,0.3685,0.00528,0.00088,-0.0449,0.3595,0.5379,-0.7650,0.0000,0.0000,0.0000,0.3687
